bridge_id,road,name,condition,length,lat,lon,avg_trucks_crossed,broken_pct,norm_traffic,norm_connectivity,criticality_score,criticality_rank,failure_rate,expected_delay,mean_delay_when_failed,mean_vehicles_delayed,norm_criticality,norm_vulnerability,priority_equal,priority_crit_heavy,priority_vuln_heavy,priority_rank,quadrant
1000432,N1,MADDUM SONAPHAR-3,A,2,22.8595833,91.5454719,16923.6,29.41,0.5575851025975567,0.5843433339956289,0.5656125720169782,61,0.3,40285.8,134286.0,2783.7,0.5656125720169782,0.09566183328932447,0.33063720265315133,0.42462735039868205,0.23664705490762059,93,A
1000443,N1,MUSTAU NOGAR(2),A,3,22.8452219,91.5475274,16922.5,29.41,0.5575488606860923,0.5843433339956289,0.5655872026789532,67,0.2,37849.9,189249.5,2605.0,0.5655872026789532,0.089877595177894,0.3277323989284236,0.4228743204286355,0.23259047742821176,94,A
2000557,N2,SHOURATUL,A,8,24.3902523321393,91.55708278676616,20607.9,0.0,0.6789724429684103,0.0,0.4752807100778872,194,0.4,74634.3,186585.75,5148.8,0.4752807100778872,0.1772250759390512,0.3262528930084692,0.3858640198362364,0.266641766180702,95,A
2000090,N2,SHIKANDI BOX CULVERT,C,2,23.8950552,90.6740827,20762.4,0.0,0.6840627841695331,0.0,0.4788439489186731,116,0.4,68947.0,172367.5,4757.3,0.4788439489186731,0.1637201301649478,0.32128203954181045,0.3843068032925555,0.2582572757910654,96,A
1000522,N1,UTTOR SITAKONDO BAZAR BOX CULVERT,B,6,22.625916,91.6541389,16922.2,29.41,0.5575389765284203,0.5843433339956289,0.5655802837685828,73,0.3,32411.6,108038.66666666667,2234.4,0.5655802837685828,0.07696391968982293,0.3212721017292029,0.41899537454495484,0.22354882891345088,97,A
2000540,N2,CHALTA BOX CULVERT,A,3,24.35368055,91.5381941,20602.8,0.0,0.6788044122879848,0.0,0.4751630886015893,197,0.3,69579.3,231931.0,4799.3,0.4751630886015893,0.16522157675875604,0.32019233268017266,0.3821806350487393,0.258204030311606,98,A
1000630,N1,Bridge start,B,0,22.398833000000003,91.7576667,16918.2,29.41,0.5574071877594592,0.5843433339956289,0.5654880316303101,89,0.2,31508.6,157543.0,2173.0,0.5654880316303101,0.07481967443565744,0.32015385303298377,0.4182875244719143,0.22202018159405323,99,A
1000501,N1,TARAT BOX CULVERT,A,6,22.6769438,91.6268327,16921.2,29.41,0.55750602933618,0.5843433339956289,0.5655572207340147,79,0.3,30394.5,101315.0,2091.3,0.5655572207340147,0.07217415545706855,0.3188656880955416,0.41754230115093083,0.2201890750401524,100,A
2000662,N2,GARIPUR,A,6,24.5055556,91.5848886,20624.4,0.0,0.6795160716403749,0.0,0.4756612501482624,165,0.4,67861.8,169654.5,4680.2,0.4756612501482624,0.16114323653281004,0.31840224334053624,0.38130584606362666,0.25549864061744576,101,A
2000666,N2,MALAR BATAR,B,8,24.5086944,91.5851663,20623.6,0.0,0.6794897138865825,0.0,0.4756427997206077,166,0.4,66566.4,166416.0,4597.0,0.4756427997206077,0.15806720629776463,0.3168550030091862,0.3803701216937548,0.2533398843246175,102,A
1000546,N1,Bridge start,B,0,22.583583,91.67852715,16921.6,29.41,0.5575192082130761,0.5843433339956289,0.5655664459478419,75,0.3,27966.5,93221.66666666667,1922.0,0.5655664459478419,0.06640867652338771,0.3159875612356148,0.4158191151205056,0.21615600735072393,103,A
2000029,N2,ADURI BOX CULVERT,B,5,23.7977219,90.5808882,20779.9,0.0,0.684639360033738,0.0,0.4792475520236166,97,0.4,63544.6,158861.5,4383.8,0.4792475520236166,0.1508917020795617,0.31506962705158914,0.3807407970404001,0.24939845706277816,104,A
1000381,N1,Bridge start,B,0,22.99612465,91.40058335,16923.3,29.41,0.5575752184398846,0.5843433339956289,0.5656056531066078,62,0.2,26220.1,131100.5,1809.4,0.5656056531066078,0.062261710950990576,0.3139336820287992,0.41460247045992266,0.21326489359767575,105,A
2000853,N2,NAZIR BAZAR,C,12,24.7961386,91.7895274,17531.7,0.0,0.5776202901988693,0.0,0.4043342031392085,222,0.4,93907.2,234768.0,2536.9,0.4043342031392085,0.22299010845179318,0.31366215579550083,0.3499309747329839,0.27739333685801776,106,A
2000084,N2,Panchdona Bridge (2 bridges at crossing),A,32,23.89365245,90.6669299,20763.5,0.0,0.6840990260809974,0.0,0.4788693182566981,114,0.1,62138.5,621385.0,1679.3,0.4788693182566981,0.14755280589807546,0.3132110620773868,0.3794743645491113,0.24694775960566223,107,A
2000658,N2,DEWPARA CUVERT,A,2,24.4996941,91.5833608,20622.9,0.0,0.6794666508520145,0.0,0.4756266555964101,167,0.3,63086.9,210289.66666666666,4353.9,0.4756266555964101,0.1498048570598147,0.3127157563281124,0.3778801160354314,0.24755139662079328,108,A
1000773,N1,Sangu Bridge (2 bridges at crossing),B,211,22.15886115,92.068041,5010.4,11.11,0.1650786120006853,0.220743095569243,0.1817779570712526,408,0.7,186484.0,266405.71428571426,1451.3,0.1817779570712526,0.4428210763873718,0.3122995167293122,0.26009089286608833,0.364508140592536,109,C
1000621,N1,Bridge start,B,0,22.418416,91.75056945,16917.6,29.41,0.557387419444115,0.5843433339956289,0.5654741938095691,94,0.2,24890.7,124453.5,1716.7,0.5654741938095691,0.05910494501423798,0.31228956941190356,0.4135634191709697,0.21101571965283733,110,A
2000566,N2,Putajuri Bridge (2 bridges at crossing),A,20,24.4034167,91.5644444,20609.4,0.0,0.6790218637567708,0.0,0.4753153046297395,192,0.3,62154.5,207181.66666666666,1685.6,0.4753153046297395,0.14759079916946707,0.31145305189960326,0.3769979529916577,0.2459081508075488,111,A
1000636,N1,Bridge start,B,0,22.3889997,91.7606111,16917.7,29.41,0.5573907141633391,0.5843433339956289,0.565476500113026,92,0.2,23844.3,119221.5,1642.8,0.565476500113026,0.05662018506522495,0.31104834258912545,0.41281960559868563,0.20927707957956523,112,A
2000597,N2,Rokonpur Bridge (2 bridges at crossing),B,20,24.4421663,91.5698604,20615.3,0.0,0.6792162521909882,0.0,0.4754513765336917,182,0.2,61143.6,305718.0,1646.9,0.4754513765336917,0.14519033679135424,0.31032085666252296,0.37637306461099046,0.24426864871405546,113,A
2000221,N2,JAKANNATHPUR,A,4,24.0570139,90.9697771,20727.5,0.0,0.6829129271603475,0.0,0.4780390490122432,133,0.3,59225.9,197419.66666666666,4077.9,0.4780390490122432,0.14063660575712042,0.3093378273846818,0.37681831603570637,0.24185733873365722,114,A
