bridge_id,name,road,condition,length,broken_down,total_delay_min,vehicles_delayed,replication,seed
2000037,BANTI BRIDGE (2 bridges at crossing),N2,C,72,False,0,0,1,1234567
2000041,PATCHRUKHI CULVERT,N2,C,3,False,0,0,1,1234567
2000044,PUTCHRUCLAI CULVERT,N2,A,4,False,0,0,1,1234567
2000048,SON PARA,N2,B,8,False,0,0,1,1234567
2000051,FURINGDIA BOX CULVERT,N2,A,8,False,0,0,1,1234567
2000054,PURINDA BAZAR BOX CULVERT,N2,A,4,False,0,0,1,1234567
2000056,PURINDHA BOX CULVERT,N2,A,8,False,0,0,1,1234567
2000059,SHAT GRAM BOX CULVERT,N2,B,4,False,0,0,1,1234567
2000063,BAGBARI BOX CULVERT,N2,A,4,False,0,0,1,1234567
2000065,RAINADI BOX CULVERT,N2,A,4,False,0,0,1,1234567
2000068,KANDA PARA BOX CULVERT,N2,A,4,False,0,0,1,1234567
2000070,NAWPARA BOX CULVERT,N2,A,2,False,0,0,1,1234567
2000077,KURIRPARA BOX CULVERT,N2,A,2,False,0,0,1,1234567
2000079,CHAITABOR BOX CULVERT,N2,A,2,False,0,0,1,1234567
2000084,Panchdona Bridge (2 bridges at crossing),N2,A,32,False,0,0,1,1234567
2000087,BOLTIRISH KANE CULVERT,N2,B,3,False,0,0,1,1234567
2000090,SHIKANDI BOX CULVERT,N2,C,2,True,78176,5394,1,1234567
2000093,UTTAR BAYANDA CULVERT,N2,A,4,False,0,0,1,1234567
2000100,BAGDI BOX CULVERT,N2,A,13,False,0,0,1,1234567
2000103,BAGDI - 2 CULVERT,N2,A,3,False,0,0,1,1234567
2000106,BASAIL BRIDGE OVER ROAD (2 bridges at crossing),N2,A,25,False,0,0,1,1234567
2000110,Bala Nagar Bridge (2 bridges at crossing),N2,A,61,False,0,0,1,1234567
2000128,ITAKHOLA CULVERT,N2,A,2,False,0,0,1,1234567
2000139,Simbi Bridge (2 bridges at crossing),N2,A,96,False,0,0,1,1234567
2000167,Bitimargal Bridge (2 bridges at crossing),N2,A,19,False,0,0,1,1234567
2000175,BRIDE OVER ARIAL RCC GIDER BRIDGE (2 bridges at crossing),N2,C,140,False,0,0,1,1234567
2000178,SHIBPUR RCC GIDER BRIDGE (2 bridges at crossing),N2,A,39,False,0,0,1,1234567
2000185,Khamachor Bridge (2 bridges at crossing),N2,A,40,False,0,0,1,1234567
2000192,Noya Kandi Bridge (2 bridges at crossing),N2,A,14,False,0,0,1,1234567
2000196,Patila Dua Bridge (2 bridges at crossing),N2,A,13,False,0,0,1,1234567
2000202,NARAYAN PUR RCC GIDER BRIDGE (2 bridges at crossing),N2,A,12,False,0,0,1,1234567
2000209,Mahmudabad Bridge (2 bridges at crossing),N2,A,16,False,0,0,1,1234567
2000217,OLD BRAMMAPULRA,N2,C,429,False,0,0,1,1234567
2000221,JAKANNATHPUR,N2,A,4,False,0,0,1,1234567
2000225,KOMOLPUR CULVERT (1),N2,C,6,False,0,0,1,1234567
2000231,NEAR BHAIRAB SLAB CULVERT,N2,A,14,False,0,0,1,1234567
2000241,SONARAMPUR,N2,B,3,False,0,0,1,1234567
2000248,Sonarampur Bridge (2 bridges at crossing),N2,C,80,False,0,0,1,1234567
2000252,SUNSRAMPUR CULVERT,N2,A,3,False,0,0,1,1234567
